SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0022.P0022_R0203SA.P0022_R0203SA.P0022_R0203SA_CPU.P0022_R0203SA_EIPAdapter;Data3000ms;LtmMode;3000;30000
Domain.PLC_P0022.P0022_V0160SA.P0022_V0160SA.P0022_V0160SA_CPU.P0022_V0160SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0179SA.P0022_V0179SA.P0022_V0179SA_CPU.P0022_V0179SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0192SA.P0022_V0192SA.P0022_V0192SA_CPU.P0022_V0192SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0197SA.P0022_V0197SA.P0022_V0197SA_CPU.P0022_V0197SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0202SA.P0022_V0202SA.P0022_V0202SA_CPU.P0022_V0202SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0204SA.P0022_V0204SA.P0022_V0204SA_CPU.P0022_V0204SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0206SA.P0022_V0206SA.P0022_V0206SA_CPU.P0022_V0206SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0209SA.P0022_V0209SA.P0022_V0209SA_CPU.P0022_V0209SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0225SA.P0022_V0225SA.P0022_V0225SA_CPU.P0022_V0225SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0022.P0022_V0242SA.P0022_V0242SA.P0022_V0242SA_CPU.P0022_V0242SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
